ticker,date,open,high,low,close,volume,sector
SUNPHARMA,2024-05-30 05:30:00,1476.0,1477.4,1449.5,1459.1,3133423,Healthcare
TATACONSUM,2024-05-30 05:30:00,1057.85,1061.26,1039.08,1054.1,2709558,Unknown
TATAMOTORS,2024-05-30 05:30:00,943.5,951.45,921.0,923.95,10170912,Automobile
TATASTEEL,2024-05-30 05:30:00,172.0,172.0,163.35,164.15,108813875,Materials
TCS,2024-05-30 05:30:00,3777.0,3794.4,3715.45,3736.1,2919230,Information Technology
TECHM,2024-05-30 05:30:00,1280.05,1287.75,1235.35,1240.85,2610479,Information Technology
TITAN,2024-05-30 05:30:00,3365.0,3365.0,3254.0,3271.85,2365535,Consumer Goods
TRENT,2024-05-30 05:30:00,4669.1,4698.0,4602.2,4651.35,523206,Consumer Services
ULTRACEMCO,2024-05-30 05:30:00,10021.0,10025.0,9830.0,9868.85,323424,Materials
WIPRO,2024-05-30 05:30:00,449.0,449.5,435.1,436.95,10362284,Information Technology
ADANIENT,2024-05-31 05:30:00,3225.25,3434.45,3225.25,3411.35,6384589,Materials
ADANIPORTS,2024-05-31 05:30:00,1391.0,1451.0,1391.0,1437.4,8238969,Services
APOLLOHOSP,2024-05-31 05:30:00,5855.95,5959.35,5743.0,5839.2,1382132,Healthcare
ASIANPAINT,2024-05-31 05:30:00,2883.7,2906.0,2855.6,2881.2,2520363,Consumer Goods
AXISBANK,2024-05-31 05:30:00,1173.0,1178.0,1153.4,1162.15,10057642,Financial Services
BAJAJ-AUTO,2024-05-31 05:30:00,8990.0,9125.5,8923.0,9084.75,560005,Automobile
BAJAJFINSV,2024-05-31 05:30:00,1530.0,1552.05,1518.9,1528.6,2794001,Financial Services
BAJFINANCE,2024-05-31 05:30:00,6664.95,6771.95,6642.4,6697.7,2841733,Financial Services
BEL,2024-05-31 05:30:00,294.2,297.2,286.3,295.95,51397345,Services
BHARTIARTL,2024-05-31 05:30:00,1380.0,1388.0,1338.0,1372.75,24825643,Telecommunications
BPCL,2024-05-31 05:30:00,315.0,317.2,308.8,313.9,18484104,Energy
BRITANNIA,2024-05-31 05:30:00,5208.0,5221.0,5110.65,5179.8,651525,Consumer Goods
CIPLA,2024-05-31 05:30:00,1466.95,1472.7,1440.0,1447.2,3270743,Healthcare
COALINDIA,2024-05-31 05:30:00,484.4,493.1,479.0,491.2,11223848,Energy
DRREDDY,2024-05-31 05:30:00,1179.99,1180.93,1150.57,1158.37,5146590,Healthcare
EICHERMOT,2024-05-31 05:30:00,4742.2,4790.0,4668.25,4733.45,1137018,Automobile
GRASIM,2024-05-31 05:30:00,2342.95,2362.0,2295.95,2316.25,1644820,Materials
HCLTECH,2024-05-31 05:30:00,1331.85,1340.9,1315.75,1324.1,10319045,Information Technology
HDFCBANK,2024-05-31 05:30:00,1519.0,1536.0,1514.0,1531.55,37039794,Financial Services
HDFCLIFE,2024-05-31 05:30:00,551.9,556.3,546.55,549.85,9707990,Financial Services
HEROMOTOCO,2024-05-31 05:30:00,5175.0,5189.95,5003.5,5119.6,1905070,Automobile
HINDALCO,2024-05-31 05:30:00,698.9,703.45,684.35,689.35,13620282,Materials
HINDUNILVR,2024-05-31 05:30:00,2353.0,2377.45,2317.6,2329.05,5529186,Consumer Goods
ICICIBANK,2024-05-31 05:30:00,1118.0,1130.6,1111.25,1121.05,26197718,Financial Services
INDUSINDBK,2024-05-31 05:30:00,1456.0,1469.9,1446.55,1461.85,3546505,Financial Services
INFY,2024-05-31 05:30:00,1409.8,1436.75,1400.0,1406.9,37113815,Information Technology
ITC,2024-05-31 05:30:00,426.75,429.55,424.25,426.45,28214102,Consumer Goods
JSWSTEEL,2024-05-31 05:30:00,892.0,895.45,877.0,880.55,5249761,Materials
KOTAKBANK,2024-05-31 05:30:00,1703.0,1703.0,1660.55,1680.4,12804476,Financial Services
LT,2024-05-31 05:30:00,3636.4,3744.8,3636.4,3669.3,6432341,Construction
M&M,2024-05-31 05:30:00,2517.75,2569.2,2495.15,2506.25,8769724,Automobile
MARUTI,2024-05-31 05:30:00,12598.0,12633.35,12330.0,12399.3,908304,Automobile
NESTLEIND,2024-05-31 05:30:00,2425.6,2425.6,2345.0,2354.9,2532973,Consumer Goods
NTPC,2024-05-31 05:30:00,363.45,366.65,355.5,359.0,30515612,Utilities
ONGC,2024-05-31 05:30:00,268.45,268.45,263.0,264.35,24167379,Energy
POWERGRID,2024-05-31 05:30:00,308.55,311.5,305.7,310.0,36929443,Utilities
RELIANCE,2024-05-31 05:30:00,1431.3,1442.25,1422.25,1430.4,31069832,Energy
SBILIFE,2024-05-31 05:30:00,1393.8,1401.15,1372.6,1386.4,2559060,Financial Services
SBIN,2024-05-31 05:30:00,830.7,835.0,817.1,830.35,22267336,Financial Services
SHRIRAMFIN,2024-05-31 05:30:00,2318.9,2387.35,2313.65,2354.05,2583291,Financial Services
SUNPHARMA,2024-05-31 05:30:00,1465.0,1479.4,1440.0,1459.8,5503924,Healthcare
TATACONSUM,2024-05-31 05:30:00,1056.57,1057.65,1035.43,1047.23,4728270,Unknown
TATAMOTORS,2024-05-31 05:30:00,931.65,937.25,920.1,923.0,14289102,Automobile
TATASTEEL,2024-05-31 05:30:00,166.05,167.95,164.0,167.2,83713848,Materials
TCS,2024-05-31 05:30:00,3740.0,3749.8,3653.75,3670.95,10956800,Information Technology
TECHM,2024-05-31 05:30:00,1245.95,1255.25,1224.05,1228.45,4649449,Information Technology
TITAN,2024-05-31 05:30:00,3298.0,3328.8,3216.75,3241.9,2524214,Consumer Goods
TRENT,2024-05-31 05:30:00,4665.0,4710.0,4498.9,4559.15,3005008,Consumer Services
ULTRACEMCO,2024-05-31 05:30:00,9932.0,10080.0,9750.1,9915.5,791072,Materials
WIPRO,2024-05-31 05:30:00,437.55,442.15,435.5,438.2,10719002,Information Technology
